Timestamp,What is your current academic level?,What is your primary source of funding for your studies and living expenses?,What is your approximate monthly income/financial support? (in LKR),How much do you spend on TRANSPORTATION per month? (in LKR),Rate your comfort level with your current financial situation.,How would you rate the affordability of the following expenses in your area? [Accommodation (Rent/Housing)],How would you rate the affordability of the following expenses in your area? [Groceries/Food],"How would you rate the affordability of the following expenses in your area? [Course Materials (Books, supplies)]",How would you rate the affordability of the following expenses in your area? [Transportation],How would you rate the affordability of the following expenses in your area? [Social/Leisure Activities],In which areas do you wish you had more financial assistance or resources?,Approximately how many hours per week do you spend working (paid job)?,Please provide any additional comments on your student budget or financial challenges.
20/11/2025 17:54:47,Postgraduate,"Savings, Scholarship/Grants","More than LKR 75,000",26684,4,Very Unaffordable,Very Unaffordable,Neutral,Very Unaffordable,Very Unaffordable,Emergency Funding,16-20 hours,
23/11/2025 22:29:21,Undergraduate,Savings,"More than LKR 75,000",23796,5,Very Unaffordable,Very Unaffordable,Affordable,Unaffordable,Unaffordable,"Career Development Workshops, Tuition Fees, Accommodation",1-5 hours,I need to work more to cover rent.
12/11/2025 00:26:16,Postgraduate,Parental/Family Support,"LKR 50,001 - 75,000",17490,5,Unaffordable,Very Unaffordable,Very Affordable,Very Affordable,Unaffordable,Emergency Funding,6-10 hours,Financial stress is very high this semester.
14/11/2025 17:13:46,Undergraduate,"Other (e.g., Freelancing)","LKR 50,001 - 75,000",11586,1,Unaffordable,Neutral,Neutral,Very Affordable,Affordable,"Emergency Funding, Career Development Workshops",16-20 hours,I need to work more to cover rent.
30/10/2025 04:03:01,Postgraduate,"Part-time Job, Student Loans, Parental/Family Support","More than LKR 75,000",14205,3,Affordable,Very Unaffordable,Neutral,Unaffordable,Neutral,"Accommodation, Emergency Funding, Groceries/Food",11-15 hours,Scholarship funds are delayed.
05/11/2025 09:43:36,Postgraduate,"Parental/Family Support, Scholarship/Grants, Part-time Job","Less than LKR 15,000",453,3,Neutral,Neutral,Neutral,Affordable,Unaffordable,"Groceries/Food, Mental Health Services, None of the above",1-5 hours,Financial stress is very high this semester.
28/10/2025 19:00:38,Postgraduate,"Part-time Job, Other (e.g., Freelancing), Savings","LKR 15,001 - 25,000",5169,4,Neutral,Neutral,Very Unaffordable,Neutral,Affordable,"None of the above, Emergency Funding",1-5 hours,Financial stress is very high this semester.
17/11/2025 01:56:17,Undergraduate,"Savings, Parental/Family Support, Scholarship/Grants",Prefer not to say,1907,1,Unaffordable,Neutral,Unaffordable,Affordable,Neutral,Mental Health Services,11-15 hours,Scholarship funds are delayed.
29/10/2025 17:37:11,Postgraduate,"Part-time Job, Scholarship/Grants, Student Loans","LKR 50,001 - 75,000",21988,3,Very Affordable,Affordable,Affordable,Very Affordable,Affordable,"Accommodation, Mental Health Services, Emergency Funding",More than 20 hours,
28/10/2025 22:32:43,Undergraduate,"Scholarship/Grants, Parental/Family Support","LKR 35,001 - 50,000",1294,3,Affordable,Neutral,Affordable,Unaffordable,Very Affordable,"Emergency Funding, Tuition Fees",1-5 hours,The country sucks
17/11/2025 15:50:34,Postgraduate,"Part-time Job, Parental/Family Support","Less than LKR 15,000",791,1,Neutral,Unaffordable,Unaffordable,Neutral,Very Affordable,"None of the above, Groceries/Food",1-5 hours,
13/11/2025 22:58:45,Postgraduate,"Savings, Part-time Job, Scholarship/Grants","LKR 35,001 - 50,000",4838,4,Neutral,Very Affordable,Affordable,Very Affordable,Unaffordable,Mental Health Services,0 hours,I need to work more to cover rent.
15/11/2025 09:20:27,Undergraduate,Scholarship/Grants,"LKR 25,001 - 35,000",1327,4,Affordable,Neutral,Neutral,Very Affordable,Very Unaffordable,"Mental Health Services, Emergency Funding, None of the above",16-20 hours,
13/11/2025 16:41:35,Postgraduate,"Other (e.g., Freelancing)","More than LKR 75,000",21708,2,Affordable,Unaffordable,Affordable,Very Affordable,Unaffordable,"None of the above, Career Development Workshops, Accommodation",16-20 hours,
29/10/2025 16:44:10,Postgraduate,"Part-time Job, Student Loans, Scholarship/Grants","LKR 35,001 - 50,000",5310,1,Very Unaffordable,Neutral,Affordable,Neutral,Very Unaffordable,"Mental Health Services, Groceries/Food, Accommodation",0 hours,
09/11/2025 01:46:18,Undergraduate,Student Loans,"Less than LKR 15,000",743,2,Neutral,Neutral,Unaffordable,Unaffordable,Affordable,"None of the above, Groceries/Food",More than 20 hours,The country sucks
31/10/2025 13:56:09,Postgraduate,"Part-time Job, Student Loans","LKR 25,001 - 35,000",7225,1,Very Unaffordable,Neutral,Unaffordable,Very Affordable,Very Unaffordable,Accommodation,0 hours,Financial stress is very high this semester.
04/11/2025 05:57:49,Undergraduate,"Student Loans, Parental/Family Support, Part-time Job","LKR 25,001 - 35,000",2649,5,Very Unaffordable,Neutral,Affordable,Neutral,Very Unaffordable,"Accommodation, Mental Health Services",16-20 hours,
22/11/2025 01:04:06,Undergraduate,"Student Loans, Other (e.g., Freelancing)","LKR 35,001 - 50,000",9436,4,Very Affordable,Unaffordable,Neutral,Neutral,Very Affordable,"Accommodation, Groceries/Food, Tuition Fees",0 hours,Scholarship funds are delayed.
08/11/2025 16:09:40,Postgraduate,"Savings, Parental/Family Support, Student Loans",Prefer not to say,6314,1,Affordable,Neutral,Affordable,Neutral,Neutral,Emergency Funding,11-15 hours,Scholarship funds are delayed.
24/11/2025 15:14:52,Postgraduate,"Other (e.g., Freelancing), Parental/Family Support, Scholarship/Grants","LKR 15,001 - 25,000",1262,1,Very Unaffordable,Very Unaffordable,Affordable,Neutral,Very Affordable,"Tuition Fees, Career Development Workshops, Mental Health Services",11-15 hours,I need to work more to cover rent.
27/10/2025 00:19:08,Undergraduate,"Scholarship/Grants, Other (e.g., Freelancing), Part-time Job","LKR 50,001 - 75,000",17316,1,Affordable,Very Unaffordable,Neutral,Very Affordable,Unaffordable,"Groceries/Food, Career Development Workshops, Tuition Fees",0 hours,Scholarship funds are delayed.
15/11/2025 07:21:44,Undergraduate,"Student Loans, Scholarship/Grants, Parental/Family Support","LKR 15,001 - 25,000",7074,1,Affordable,Very Unaffordable,Neutral,Unaffordable,Affordable,"Career Development Workshops, Groceries/Food, Accommodation",More than 20 hours,
26/10/2025 03:33:05,Undergraduate,"Student Loans, Other (e.g., Freelancing)","LKR 15,001 - 25,000",8414,4,Very Unaffordable,Neutral,Very Affordable,Neutral,Very Unaffordable,"None of the above, Accommodation, Mental Health Services",More than 20 hours,
26/10/2025 02:05:05,Postgraduate,"Part-time Job, Student Loans, Savings","More than LKR 75,000",12853,1,Affordable,Very Unaffordable,Affordable,Very Affordable,Affordable,"Mental Health Services, None of the above, Career Development Workshops",1-5 hours,The country sucks
05/11/2025 19:32:30,Postgraduate,Scholarship/Grants,"LKR 50,001 - 75,000",6763,5,Affordable,Very Unaffordable,Affordable,Very Affordable,Very Affordable,Mental Health Services,1-5 hours,The country sucks
22/11/2025 12:59:47,Postgraduate,Savings,"LKR 50,001 - 75,000",26545,1,Affordable,Affordable,Unaffordable,Very Unaffordable,Unaffordable,"Tuition Fees, None of the above, Accommodation",More than 20 hours,The country sucks
07/11/2025 23:42:57,Undergraduate,"Savings, Part-time Job, Parental/Family Support","LKR 35,001 - 50,000",4229,5,Unaffordable,Very Affordable,Neutral,Unaffordable,Unaffordable,"Emergency Funding, Career Development Workshops, Mental Health Services",6-10 hours,Financial stress is very high this semester.
21/11/2025 03:10:26,Postgraduate,"Student Loans, Savings, Scholarship/Grants","LKR 50,001 - 75,000",16129,1,Very Affordable,Very Unaffordable,Affordable,Very Unaffordable,Very Unaffordable,Tuition Fees,16-20 hours,Financial stress is very high this semester.
19/11/2025 07:13:50,Undergraduate,"Scholarship/Grants, Savings, Parental/Family Support","LKR 25,001 - 35,000",9844,3,Unaffordable,Neutral,Very Unaffordable,Very Affordable,Very Unaffordable,Tuition Fees,1-5 hours,Financial stress is very high this semester.
21/11/2025 08:17:36,Postgraduate,"Scholarship/Grants, Other (e.g., Freelancing)","LKR 35,001 - 50,000",5574,5,Affordable,Unaffordable,Neutral,Very Affordable,Neutral,"Groceries/Food, None of the above, Mental Health Services",More than 20 hours,Scholarship funds are delayed.
27/10/2025 21:59:52,Postgraduate,"Scholarship/Grants, Other (e.g., Freelancing), Parental/Family Support","LKR 35,001 - 50,000",1574,3,Very Unaffordable,Affordable,Very Unaffordable,Very Affordable,Neutral,"Mental Health Services, Accommodation",1-5 hours,Financial stress is very high this semester.
17/11/2025 21:46:56,Postgraduate,Part-time Job,Prefer not to say,7362,3,Neutral,Very Affordable,Unaffordable,Affordable,Neutral,Tuition Fees,11-15 hours,
08/11/2025 15:59:00,Postgraduate,"Parental/Family Support, Savings, Part-time Job","LKR 35,001 - 50,000",9673,3,Very Affordable,Neutral,Unaffordable,Very Affordable,Unaffordable,Emergency Funding,More than 20 hours,
30/10/2025 06:49:06,Undergraduate,"Part-time Job, Scholarship/Grants",Prefer not to say,3519,5,Affordable,Unaffordable,Unaffordable,Very Unaffordable,Neutral,"Emergency Funding, Accommodation",6-10 hours,The country sucks
31/10/2025 21:20:38,Undergraduate,Student Loans,"LKR 15,001 - 25,000",5226,2,Neutral,Unaffordable,Neutral,Neutral,Unaffordable,"None of the above, Career Development Workshops",More than 20 hours,
04/11/2025 01:39:29,Postgraduate,"Part-time Job, Parental/Family Support","More than LKR 75,000",26137,2,Unaffordable,Very Unaffordable,Very Affordable,Very Affordable,Very Unaffordable,"Groceries/Food, Mental Health Services, Career Development Workshops",6-10 hours,
12/11/2025 15:20:26,Postgraduate,Parental/Family Support,"LKR 35,001 - 50,000",6853,2,Neutral,Unaffordable,Neutral,Affordable,Unaffordable,"None of the above, Accommodation",11-15 hours,Scholarship funds are delayed.
29/10/2025 04:04:45,Undergraduate,Part-time Job,"LKR 35,001 - 50,000",6279,1,Very Unaffordable,Affordable,Unaffordable,Affordable,Very Unaffordable,"Tuition Fees, Mental Health Services, Accommodation",16-20 hours,I need to work more to cover rent.
14/11/2025 23:01:43,Postgraduate,"Parental/Family Support, Savings","LKR 15,001 - 25,000",4354,4,Very Affordable,Very Affordable,Very Affordable,Very Unaffordable,Very Unaffordable,"None of the above, Groceries/Food, Emergency Funding",0 hours,Financial stress is very high this semester.
27/10/2025 05:57:41,Postgraduate,Parental/Family Support,"LKR 35,001 - 50,000",9362,5,Very Unaffordable,Unaffordable,Very Affordable,Affordable,Unaffordable,"Groceries/Food, Accommodation",6-10 hours,Financial stress is very high this semester.
13/11/2025 21:38:18,Undergraduate,"Parental/Family Support, Scholarship/Grants","LKR 50,001 - 75,000",22748,3,Neutral,Very Affordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,"Tuition Fees, Emergency Funding, Accommodation",0 hours,
22/11/2025 21:59:22,Postgraduate,"Savings, Other (e.g., Freelancing), Parental/Family Support","LKR 50,001 - 75,000",29605,1,Very Affordable,Affordable,Very Unaffordable,Unaffordable,Very Unaffordable,Tuition Fees,0 hours,Scholarship funds are delayed.
29/10/2025 06:19:14,Postgraduate,"Parental/Family Support, Scholarship/Grants","Less than LKR 15,000",488,5,Neutral,Very Affordable,Very Unaffordable,Very Affordable,Neutral,Career Development Workshops,More than 20 hours,Scholarship funds are delayed.
16/11/2025 20:14:34,Undergraduate,Savings,"LKR 50,001 - 75,000",12712,3,Unaffordable,Very Unaffordable,Very Affordable,Neutral,Affordable,"None of the above, Career Development Workshops, Groceries/Food",6-10 hours,The country sucks
15/11/2025 10:50:25,Undergraduate,"Part-time Job, Savings, Scholarship/Grants","LKR 25,001 - 35,000",3201,5,Unaffordable,Unaffordable,Affordable,Affordable,Neutral,Accommodation,1-5 hours,The country sucks
15/11/2025 18:27:07,Undergraduate,"Savings, Scholarship/Grants","LKR 15,001 - 25,000",2089,2,Unaffordable,Neutral,Affordable,Affordable,Very Unaffordable,"Accommodation, Groceries/Food",6-10 hours,I need to work more to cover rent.
09/11/2025 10:38:03,Postgraduate,Part-time Job,"LKR 15,001 - 25,000",1439,4,Unaffordable,Affordable,Neutral,Neutral,Very Unaffordable,"Mental Health Services, Tuition Fees",6-10 hours,Financial stress is very high this semester.
24/11/2025 15:15:43,Undergraduate,"Part-time Job, Scholarship/Grants, Savings","More than LKR 75,000",14660,3,Very Affordable,Very Affordable,Very Unaffordable,Neutral,Affordable,"Career Development Workshops, None of the above, Groceries/Food",More than 20 hours,
25/10/2025 18:45:39,Undergraduate,"Savings, Scholarship/Grants","More than LKR 75,000",11885,2,Neutral,Unaffordable,Unaffordable,Affordable,Very Unaffordable,"Emergency Funding, Tuition Fees",16-20 hours,
28/10/2025 00:59:42,Postgraduate,"Part-time Job, Scholarship/Grants","LKR 35,001 - 50,000",7175,4,Affordable,Affordable,Very Affordable,Neutral,Unaffordable,"Mental Health Services, Groceries/Food, Accommodation",More than 20 hours,
30/10/2025 03:45:58,Postgraduate,"Scholarship/Grants, Savings","LKR 35,001 - 50,000",1855,1,Very Unaffordable,Very Unaffordable,Very Affordable,Unaffordable,Very Affordable,Accommodation,11-15 hours,
12/11/2025 19:44:02,Undergraduate,"Savings, Student Loans, Parental/Family Support",Prefer not to say,4546,2,Unaffordable,Very Affordable,Affordable,Very Affordable,Unaffordable,"Mental Health Services, Career Development Workshops",6-10 hours,Scholarship funds are delayed.
05/11/2025 05:00:31,Undergraduate,"Other (e.g., Freelancing), Scholarship/Grants, Student Loans","LKR 50,001 - 75,000",11873,3,Unaffordable,Very Affordable,Affordable,Affordable,Very Affordable,Career Development Workshops,0 hours,The country sucks
28/10/2025 07:37:48,Undergraduate,"Scholarship/Grants, Other (e.g., Freelancing), Savings","LKR 25,001 - 35,000",9837,3,Neutral,Affordable,Very Affordable,Affordable,Neutral,"Emergency Funding, Career Development Workshops",16-20 hours,Scholarship funds are delayed.
12/11/2025 07:19:21,Undergraduate,"Savings, Scholarship/Grants, Other (e.g., Freelancing)","LKR 35,001 - 50,000",5434,1,Affordable,Very Unaffordable,Affordable,Neutral,Very Affordable,"Career Development Workshops, None of the above",More than 20 hours,Financial stress is very high this semester.
05/11/2025 17:10:46,Undergraduate,Savings,"LKR 25,001 - 35,000",6645,3,Very Unaffordable,Unaffordable,Very Unaffordable,Affordable,Very Affordable,"None of the above, Tuition Fees, Groceries/Food",More than 20 hours,
20/11/2025 21:18:33,Postgraduate,"Other (e.g., Freelancing), Scholarship/Grants","LKR 25,001 - 35,000",2654,1,Very Unaffordable,Affordable,Neutral,Neutral,Affordable,"None of the above, Mental Health Services, Groceries/Food",More than 20 hours,
07/11/2025 18:38:22,Postgraduate,"Other (e.g., Freelancing)","Less than LKR 15,000",334,5,Unaffordable,Unaffordable,Very Affordable,Very Unaffordable,Very Unaffordable,"Mental Health Services, Groceries/Food, Tuition Fees",11-15 hours,
19/11/2025 17:56:48,Postgraduate,Student Loans,"LKR 25,001 - 35,000",4462,4,Neutral,Very Unaffordable,Very Affordable,Very Unaffordable,Affordable,"Groceries/Food, Tuition Fees, Mental Health Services",11-15 hours,
09/11/2025 00:08:49,Undergraduate,"Savings, Other (e.g., Freelancing), Student Loans","LKR 25,001 - 35,000",3720,1,Unaffordable,Neutral,Affordable,Unaffordable,Affordable,Mental Health Services,0 hours,
09/11/2025 16:42:19,Undergraduate,"Savings, Scholarship/Grants, Other (e.g., Freelancing)","Less than LKR 15,000",920,2,Unaffordable,Very Unaffordable,Very Affordable,Affordable,Very Unaffordable,"Emergency Funding, Tuition Fees",6-10 hours,Financial stress is very high this semester.
31/10/2025 09:12:00,Postgraduate,Student Loans,"LKR 50,001 - 75,000",27330,4,Affordable,Affordable,Affordable,Neutral,Neutral,"None of the above, Groceries/Food",More than 20 hours,
22/11/2025 20:00:52,Postgraduate,"Scholarship/Grants, Student Loans","LKR 15,001 - 25,000",7328,5,Very Affordable,Neutral,Very Affordable,Unaffordable,Neutral,"Accommodation, Groceries/Food, Emergency Funding",16-20 hours,Scholarship funds are delayed.
19/11/2025 14:39:23,Postgraduate,"Savings, Student Loans","LKR 50,001 - 75,000",25586,4,Very Affordable,Neutral,Unaffordable,Affordable,Neutral,"Mental Health Services, Groceries/Food",16-20 hours,Scholarship funds are delayed.
16/11/2025 14:50:01,Postgraduate,"Part-time Job, Other (e.g., Freelancing), Scholarship/Grants","LKR 50,001 - 75,000",7558,4,Very Unaffordable,Very Affordable,Unaffordable,Very Affordable,Very Affordable,"Emergency Funding, Mental Health Services",More than 20 hours,Scholarship funds are delayed.
12/11/2025 22:04:41,Postgraduate,"Other (e.g., Freelancing), Student Loans, Savings","LKR 15,001 - 25,000",4905,3,Neutral,Neutral,Very Affordable,Neutral,Very Unaffordable,"Tuition Fees, Groceries/Food, Accommodation",11-15 hours,
19/11/2025 04:31:31,Postgraduate,"Scholarship/Grants, Savings, Part-time Job","LKR 25,001 - 35,000",7349,2,Very Affordable,Very Unaffordable,Very Unaffordable,Unaffordable,Affordable,"Accommodation, Emergency Funding",1-5 hours,
13/11/2025 12:52:51,Undergraduate,"Student Loans, Savings",Prefer not to say,6018,1,Affordable,Very Unaffordable,Unaffordable,Neutral,Unaffordable,"Mental Health Services, None of the above, Emergency Funding",0 hours,
18/11/2025 00:40:00,Undergraduate,"Scholarship/Grants, Savings, Other (e.g., Freelancing)","Less than LKR 15,000",823,2,Neutral,Neutral,Neutral,Unaffordable,Neutral,"Emergency Funding, None of the above, Accommodation",6-10 hours,
13/11/2025 10:07:00,Undergraduate,"Parental/Family Support, Savings, Other (e.g., Freelancing)","Less than LKR 15,000",612,4,Neutral,Very Affordable,Affordable,Very Unaffordable,Very Unaffordable,"Accommodation, Career Development Workshops",0 hours,
18/11/2025 07:02:07,Undergraduate,Student Loans,"More than LKR 75,000",13782,2,Affordable,Very Affordable,Very Affordable,Very Unaffordable,Very Affordable,"Tuition Fees, None of the above",16-20 hours,
